Layer,Weights
conv2d_1,-0.026159663
conv2d_1,0.12828027
conv2d_1,-0.10263736
conv2d_1,0.10407515
conv2d_1,0.046251226
conv2d_1,0.004486999
conv2d_1,-0.023873087
conv2d_1,0.1840776
conv2d_1,0.15535447
conv2d_1,-0.0683822
conv2d_1,-0.035591893
conv2d_1,0.11469626
conv2d_1,-0.0504767
conv2d_1,0.118980154
conv2d_1,-0.055832602
conv2d_1,-0.015459795
conv2d_1,-0.056586836
conv2d_1,-0.0641955
conv2d_1,0.0909218
conv2d_1,0.07087762
conv2d_1,0.0024418028
conv2d_1,0.024075393
conv2d_1,-0.2076883
conv2d_1,-0.07184275
conv2d_1,0.09971762
conv2d_1,-0.09776901
conv2d_1,-0.061550505
conv2d_1,-0.053041354
conv2d_1,0.013226712
conv2d_1,-0.026864097
conv2d_1,-0.030473016
conv2d_1,-0.089491434
conv2d_1,0.038814634
conv2d_1,0.0035817565
conv2d_1,0.016427543
conv2d_1,-0.03709848
conv2d_1,0.020135958
conv2d_1,-0.08321281
conv2d_1,-0.084020205
conv2d_1,-0.093862236
conv2d_1,0.06642232
conv2d_1,0.03283269
conv2d_1,0.07944426
conv2d_1,0.055583287
conv2d_1,0.02990175
conv2d_1,-0.08820466
conv2d_1,-0.09694244
conv2d_1,-0.06649831
conv2d_1,0.012984556
conv2d_1,0.038662683
conv2d_1,0.0975409
conv2d_1,0.059227675
conv2d_1,-0.095217206
conv2d_1,0.076771215
conv2d_1,0.09481585
conv2d_1,-0.026598178
conv2d_1,-0.0129776485
conv2d_1,-0.010455565
conv2d_1,0.039783664
conv2d_1,-0.08494366
conv2d_1,0.10528465
conv2d_1,0.07013421
conv2d_1,0.05053226
conv2d_1,0.058925636
conv2d_1,-0.048477076
conv2d_1,-0.1306814
conv2d_1,-0.12928297
conv2d_1,-0.17920794
conv2d_1,0.024005197
conv2d_1,-0.009242654
conv2d_1,-0.011015444
conv2d_1,0.10434279
conv2d_1,0.0625649
conv2d_1,-0.13798769
conv2d_1,0.12257505
conv2d_1,-0.05454838
conv2d_1,-0.12099811
conv2d_1,0.1130401
conv2d_1,-0.09413878
conv2d_1,0.0059326533
conv2d_1,-0.0035710942
conv2d_1,-0.04766559
conv2d_1,-0.06511376
conv2d_1,-0.11819504
conv2d_1,0.19435772
conv2d_1,0.072421335
conv2d_1,-0.17981717
conv2d_1,0.034881495
conv2d_1,0.14130649
conv2d_1,-0.2186827
conv2d_1,0.028781189
conv2d_1,-0.010320385
conv2d_1,0.060959842
conv2d_1,0.028844515
conv2d_1,0.052589834
conv2d_1,-0.09913247
conv2d_1,0.001811284
conv2d_1,-0.11005634
conv2d_1,-0.040094547
conv2d_1,-0.15230118
conv2d_1,-0.08244781
conv2d_1,-0.010265017
conv2d_1,0.052696593
conv2d_1,-0.07216368
conv2d_1,0.122940354
conv2d_1,-0.02280774
conv2d_1,0.057848014
conv2d_1,-0.08068248
conv2d_1,-0.06348873
conv2d_1,0.022621375
conv2d_1,-0.044163965
conv2d_1,-0.041776765
conv2d_1,-0.031202693
conv2d_1,0.09182712
conv2d_1,0.012967104
conv2d_1,-0.019842973
conv2d_1,-0.12797354
conv2d_1,-0.032155156
conv2d_1,-0.013202236
conv2d_1,-0.05941665
conv2d_1,-0.020241465
conv2d_1,-0.0018715089
conv2d_1,0.06743609
conv2d_1,0.040713605
conv2d_1,-0.08622508
conv2d_1,-0.07244154
conv2d_1,0.007104536
conv2d_1,0.017251302
conv2d_1,-0.057191934
conv2d_1,-0.120468795
conv2d_1,0.10255503
conv2d_1,0.11005963
conv2d_1,-0.054787718
conv2d_1,0.0027769846
conv2d_1,-0.025832938
conv2d_1,-0.07423992
conv2d_1,0.061982952
conv2d_1,-0.04017155
conv2d_1,0.10564948
conv2d_1,-0.13586818
conv2d_1,-0.045732763
conv2d_1,-0.031368334
conv2d_1,0.02968737
conv2d_1,-0.022418031
conv2d_1,-0.029787917
conv2d_1,0.07096676
conv2d_1,-0.030919489
conv2d_1,-0.064155295
conv2d_1,-0.034390856
conv2d_1,0.0056239106
conv2d_1,-0.046483852
conv2d_1,0.06589839
conv2d_1,0.08036331
conv2d_1,-0.0052416865
conv2d_1,-0.062964186
conv2d_1,-0.10577164
conv2d_1,-0.08444718
conv2d_1,-0.18542488
conv2d_1,0.07912041
conv2d_1,0.0035518755
conv2d_1,-0.12839498
conv2d_1,-0.0751607
conv2d_1,0.05676082
conv2d_1,-0.07780937
conv2d_1,-0.028159209
conv2d_1,-0.12964858
conv2d_1,-0.12224672
conv2d_1,-0.19320723
conv2d_1,0.07464487
conv2d_1,-0.08320047
conv2d_1,0.08412947
conv2d_1,-0.022573577
conv2d_1,-0.10736199
conv2d_1,-0.17782126
conv2d_1,-0.03998527
conv2d_1,9.830414e-05
conv2d_1,-0.016514096
conv2d_1,-0.022813711
conv2d_1,-0.14147936
conv2d_1,-0.026569894
conv2d_1,0.09163921
conv2d_1,0.07536316
conv2d_1,0.09192696
conv2d_1,0.032047603
conv2d_1,-0.060367778
conv2d_1,0.04926966
conv2d_1,0.03485127
conv2d_1,-0.0337319
conv2d_1,-0.05311033
conv2d_1,0.009754981
conv2d_1,-0.011230001
conv2d_1,-0.10481498
conv2d_1,-0.064871244
conv2d_1,0.010314725
conv2d_1,0.069427855
conv2d_1,-0.094889335
conv2d_1,-0.03695035
conv2d_1,0.0658522
conv2d_1,0.1385373
conv2d_1,0.004846783
conv2d_1,0.055109926
conv2d_1,-0.0229505
conv2d_1,0.07513485
conv2d_1,-0.19687717
conv2d_1,0.06539028
conv2d_1,-0.067090385
conv2d_1,-0.07706456
conv2d_1,0.19198179
conv2d_1,-0.06698488
conv2d_1,-0.10928294
conv2d_1,-0.056025274
conv2d_1,0.149025
conv2d_1,0.07227798
conv2d_1,-0.11182053
conv2d_1,0.01778382
conv2d_1,-0.01848173
conv2d_1,0.078272834
conv2d_1,0.08732324
conv2d_1,0.07150755
conv2d_1,0.045998633
conv2d_1,0.10231373
conv2d_1,-0.33823755
conv2d_1,-0.12619734
conv2d_1,-0.1679423
conv2d_1,-0.08792781
conv2d_1,-0.07202327
conv2d_1,-0.14546973
conv2d_1,-0.117132
conv2d_1,-0.13114783
conv2d_1,-0.08274837
conv2d_1,0.005137053
conv2d_1,-0.07202609
conv2d_1,-0.02214752
conv2d_1,-0.001089027
conv2d_1,-0.023963507
conv2d_1,-0.07243809
conv2d_1,0.053825617
conv2d_1,-0.18717577
conv2d_1,0.03034339
conv2d_1,0.09849932
conv2d_1,-0.06545799
conv2d_1,-0.072554156
conv2d_1,-0.03876555
conv2d_1,0.058493536
conv2d_1,-0.13757156
conv2d_1,-0.044757098
conv2d_1,0.16995215
conv2d_1,-0.06890491
conv2d_1,0.061321594
conv2d_1,-0.2394217
conv2d_1,0.0012207588
conv2d_1,-0.14184627
conv2d_1,0.08096097
conv2d_1,0.13725048
conv2d_1,0.10709364
conv2d_1,-0.0018415228
conv2d_1,-0.089067005
conv2d_1,-0.1910313
conv2d_1,0.08331297
conv2d_1,0.15472676
conv2d_1,0.20841894
conv2d_1,0.024210611
conv2d_1,0.17438507
conv2d_1,0.15377456
conv2d_1,0.043655932
conv2d_1,-0.03273216
conv2d_1,-0.1860777
conv2d_1,0.13348201
conv2d_1,0.03328906
